No,Question,A,B,C,D
1,My brother ______ to work by bus every morning.,is go,going,goes,go
2,Anna ______ like spicy food.,isn't,don't,not,doesn't
3,Be quiet! The baby ______ right now.,is sleeping,sleep,sleeps,slept
4,"According to the timetable, the bus ______ at 8:30 every morning.",leaves,leave,is leaving,will leave
5,I can't meet you on Friday. I ______ my grandmother in Chiang Mai.,visit,am visiting,will visiting,visited
6,We ______ in this city ______ ten years.,have lived / since,lived / for,live / since,have lived / for
7,She ______ English ______ 2019.,studies / since,has studied / for,has studied / since,studied / for
8,"""______ you ever ______ sushi?"" ""No, never.""",Have / eaten,Did / eat,Have / eat,Do / ate
9,I can't go out. I ______ finished my homework ______.,have / already,didn't / yet,don't / already,haven't / yet
10,______ your parents ______ to Japan before?,Did / go,Have / go,Have / been,Has / been
11,They ______ football in the park yesterday.,playing,played,play,have played
12,"I ______ my keys this morning, but I found them later.",lose,lost,have lost,losed
13,Where ______ you last night? I called you twice.,did,are,were,was
14,"At 8 p.m. yesterday, I ______ dinner with my family.",am having,have,was having,had
15,She ______ a shower when the phone ______.,was taking / was ringing,took / rang,was taking / rang,took / was ringing
16,That bag looks heavy. ______ carry it for you.,I'm going to,I'll,I'm,I
17,We ______ buy a new house next year. We've already saved the money.,are going to,will,go to,going to
18,I think our team ______ win the match tomorrow.,will win,is winning,win,wins
19,"If you heat ice, it ______.",melts,melted,is melting,will melt
20,"If it ______ tomorrow, we ______ at home.",rains / stay,rains / will stay,rained / will stay,will rain / stay
21,You will be late ______ you leave now.,when,unless,because,if
22,"I ______ I ______ taller, but I'm quite short.",want / was,wish / will be,wish / was,hope / am
23,"My little sister is only three, so she ______ read yet.",can't,mustn't,can,couldn't
24,"When I was young, I ______ climb trees easily.",could,can't,can,must
25,Students ______ wear a uniform. It's a school rule.,could,must,needn't,mustn't
26,You ______ use your phone during the exam. It's not allowed.,should,needn't,mustn't,don't have to
27,I ______ get up early yesterday because I had a meeting at 7.,must,has to,have to,had to
28,"Tomorrow is a holiday, so we ______ go to work.",mustn't,must,have to,don't have to
29,You look tired. You ______ go to bed earlier.,mustn't,shouldn't,can't,should
30,We have plenty of time. You ______ hurry.,should,must,have to,needn't
31,"Your sister is a doctor, ______?",isn't she,is she,doesn't she,she isn't
32,"They don't live here, ______?",don't they,do they,they do,are they
33,"""______ jacket is this?"" ""It's Tom's.""",Who,Which,Whose,Who's
34,This box is ______ than that one.,more heavy,heaviest,heavier,heavy
35,A car is ______ than a bicycle.,expensive,more expensive,expensiver,most expensive
36,Mount Everest is ______ mountain in the world.,higher,high,the highest,the most high
37,Today the weather is ______ than yesterday. I love the sunshine!,best,more good,better,gooder
38,He speaks English very ______.,goodly,well,better,good
39,I enjoy ______ to music in my free time.,listening,listened,listen,to listen
40,They decided ______ a new restaurant tonight.,trying,try,to try,tried
41,I saw ______ interesting film last night. ______ film was about space.,an / A,a / A,the / An,an / The
42,How ______ students are there in your class?,many,any,much,a lot
43,There isn't ______ milk in the fridge.,many,a,some,any
44,"I have very ______ money, so I can't buy that phone.",many,little,a lot,few
45,Be careful with the knife! Don't cut ______.,your,you,yours,yourself
46,That book isn't mine. I think it's ______.,she,her,she's,hers
47,The cat is hiding ______ the table. I can see its tail.,into,on,at,under
48,My English class starts ______ 9 o'clock ______ Monday.,at / on,on / at,at / in,in / in
49,The woman ______ lives next door is a nurse.,where,whose,which,who
50,Can you please ______ less noise? I'm trying to study.,take,make,have,do
